state,date,crop_type,planted_area,production,temperature,humidity
Kedah,1/1/22,industrial_crops,2051.5,35503.6,28 ,75%
Kedah,1/1/17,paddy,214585,939308,27 ,80%
Kedah,1/1/18,paddy,214592,955662,27 ,80%
Kedah,1/1/19,paddy,214252,859018,28 ,"	72%"
Kedah,1/1/20,paddy,214328,914200,29 ,"	72%"
Kedah,1/1/21,paddy,214880,906692,27 ,75%
Kedah,1/1/22,paddy,213718,834901,28 ,75%
Kedah,1/1/17,spices,651.5,1383.3,27 ,80%
Kedah,1/1/18,spices,562.5,1440.9,27 ,80%
Kedah,1/1/19,spices,548.2,1302.6,28 ,"	72%"
Kedah,1/1/20,spices,577.9,971.5,29 ,"	72%"
Kedah,1/1/21,spices,351.6,965.3,27 ,75%
Kedah,1/1/22,spices,419.9,2166.5,28 ,75%
Kedah,1/1/17,flowers,1691.9,17111.7,27 ,80%
Kedah,1/1/18,flowers,1345.9,14115,27 ,80%
Kedah,1/1/19,flowers,1631.3,16823.1,28 ,"	72%"
Kedah,1/1/20,flowers,1555,12790.5,29 ,"	72%"
Kedah,1/1/21,flowers,1317.8,12909.6,27 ,75%
Kedah,1/1/22,flowers,1051.2,15812.1,28 ,75%
Kelantan,1/1/17,cash_crops,1099.7,13133.7,27 ,86%
Kelantan,1/1/18,cash_crops,1239.1,14079,26 ,"	88%"
Kelantan,1/1/19,cash_crops,1469.4,16657.5,27 ,82%
Kelantan,1/1/20,cash_crops,1727,20770.6,27 ,"	81%"
Kelantan,1/1/21,cash_crops,1666.6,20735.8,"	26 ",82%
Kelantan,1/1/22,cash_crops,1597.7,18574.6,26 ,83%
Kelantan,1/1/17,coconut,7115.7,60008.6,27 ,86%
Kelantan,1/1/18,coconut,9542.1,73676,26 ,"	88%"
Kelantan,1/1/19,coconut,9978.7,77807.1,27 ,82%
Kelantan,1/1/20,coconut,10398.9,79953.4,27 ,"	81%"
Kelantan,1/1/21,coconut,10340.3,76673.8,"	26 ",82%
Kelantan,1/1/22,coconut,11435.6,77467,26 ,83%
Kelantan,1/1/17,vegetables,34.9,4695479,27 ,86%
Kelantan,1/1/18,vegetables,35.6,4779998,26 ,"	88%"
Kelantan,1/1/19,vegetables,36.2,4870818,27 ,82%
Kelantan,1/1/20,vegetables,35.2,3711563,27 ,"	81%"
Kelantan,1/1/21,vegetables,35.6,3958011,"	26 ",82%
Kelantan,1/1/22,vegetables,35.9,4013423,26 ,83%
Kelantan,1/1/17,fruits,17263.5,88107.3,27 ,86%
Kelantan,1/1/18,fruits,18880.6,132629.3,26 ,"	88%"
Kelantan,1/1/19,fruits,19573.3,139396.2,27 ,82%
Kelantan,1/1/20,fruits,20712.3,141461.8,27 ,"	81%"
Kelantan,1/1/21,fruits,19759.7,145161.2,"	26 ",82%
Kelantan,1/1/22,fruits,21326.5,134277.4,26 ,83%
Kelantan,1/1/17,herbs,122.8,645.2,27 ,86%
Kelantan,1/1/18,herbs,129.7,969.1,26 ,"	88%"
Kelantan,1/1/19,herbs,135.7,793.8,27 ,82%
Kelantan,1/1/20,herbs,160.3,802,27 ,"	81%"
Kelantan,1/1/21,herbs,133.5,709.7,"	26 ",82%
Kelantan,1/1/22,herbs,161.8,786.4,26 ,83%
Kelantan,1/1/17,industrial_crops,7274.4,60592.7,27 ,86%
Kelantan,1/1/18,industrial_crops,10048.1,74053.1,26 ,"	88%"
Kelantan,1/1/19,industrial_crops,10391.3,78301.7,27 ,82%
Kelantan,1/1/20,industrial_crops,10863.9,80897.9,27 ,"	81%"
Kelantan,1/1/21,industrial_crops,10466.6,77236,"	26 ",82%
Kelantan,1/1/22,industrial_crops,11593.7,78070.5,26 ,83%
Kelantan,1/1/17,paddy,74531,309582,27 ,86%
Kelantan,1/1/18,paddy,74149,319774,26 ,"	88%"
Kelantan,1/1/19,paddy,71240,268831,27 ,82%
Kelantan,1/1/20,paddy,73717,305675,27 ,"	81%"
Kelantan,1/1/21,paddy,74972,333868,"	26 ",82%
Kelantan,1/1/22,paddy,74017,272633,26 ,83%
Kelantan,1/1/17,spices,607.5,4399.3,27 ,86%
Kelantan,1/1/18,spices,571.8,4462.1,26 ,"	88%"
Kelantan,1/1/19,spices,569.3,4157.2,27 ,82%
Kelantan,1/1/20,spices,514.4,4903.1,27 ,"	81%"
Kelantan,1/1/21,spices,532.7,4428.4,"	26 ",82%
Kelantan,1/1/22,spices,583,4730.9,26 ,83%
Kelantan,1/1/17,flowers,3808.9,116909.8,27 ,86%
Kelantan,1/1/18,flowers,4311.6,125499.9,26 ,"	88%"
Kelantan,1/1/19,flowers,4639.5,132188.2,27 ,82%
Kelantan,1/1/20,flowers,4511.6,128327.4,27 ,"	81%"
Kelantan,1/1/21,flowers,4640.7,132052.7,"	26 ",82%
Kelantan,1/1/22,flowers,4892.1,137912.7,26 ,83%
Melaka,1/1/17,cash_crops,551.2,5457.2,"	27 ","	84%"
Melaka,1/1/18,cash_crops,495.5,3828.3,26 ,"	85%"
Melaka,1/1/19,cash_crops,387.6,3192.5,28 ,78%
Melaka,1/1/20,cash_crops,314.9,2546.6,28 ,"	74%"
Melaka,1/1/21,cash_crops,558.7,2882.3,26 ,82%
Melaka,1/1/22,cash_crops,398.4,3120,27 ,77%
Melaka,1/1/17,coconut,1455.9,10393.5,"	27 ","	84%"
Melaka,1/1/18,coconut,1779.8,10972.9,26 ,"	85%"
Melaka,1/1/19,coconut,1530.3,9195.8,28 ,78%
Melaka,1/1/20,coconut,2923.4,19376.2,28 ,"	74%"
Melaka,1/1/21,coconut,2189.3,14040.2,26 ,82%
Melaka,1/1/22,coconut,3013.8,20659.9,27 ,77%
Melaka,1/1/17,vegetables,33.9,639502,"	27 ","	84%"
Melaka,1/1/18,vegetables,34.5,651013,26 ,"	85%"
Melaka,1/1/19,vegetables,35.2,663382,28 ,78%
Melaka,1/1/20,vegetables,34.2,505497,28 ,"	74%"
Melaka,1/1/21,vegetables,38.3,647085,26 ,82%
Melaka,1/1/22,vegetables,38,643850,27 ,77%
Melaka,1/1/17,fruits,3587.7,31383.1,"	27 ","	84%"
Melaka,1/1/18,fruits,3328.9,23245.4,26 ,"	85%"
Melaka,1/1/19,fruits,3025.4,15435.1,28 ,78%
Melaka,1/1/20,fruits,4539.8,24708,28 ,"	74%"
Melaka,1/1/21,fruits,2861.9,19133.9,26 ,82%
Melaka,1/1/22,fruits,5631.5,28518.7,27 ,77%
Melaka,1/1/17,herbs,26.5,235.3,"	27 ","	84%"
Melaka,1/1/18,herbs,9.3,103.1,26 ,"	85%"
Melaka,1/1/19,herbs,3.4,58.7,28 ,78%
Melaka,1/1/20,herbs,12.4,53.8,28 ,"	74%"
Melaka,1/1/21,herbs,5.3,61.7,26 ,82%
Melaka,1/1/22,herbs,14.4,59.3,27 ,77%
Melaka,1/1/17,industrial_crops,1478.2,10511.2,"	27 ","	84%"
Melaka,1/1/18,industrial_crops,1806.3,11106.7,26 ,"	85%"
Melaka,1/1/19,industrial_crops,1565.2,9351.9,28 ,78%
Melaka,1/1/20,industrial_crops,2958.3,19699.8,28 ,"	74%"
Melaka,1/1/21,industrial_crops,2227.4,14265.1,26 ,82%
Melaka,1/1/22,industrial_crops,3065.4,20882.7,27 ,77%
Melaka,1/1/17,paddy,3510,12135,"	27 ","	84%"
Melaka,1/1/18,paddy,3135,9352,26 ,"	85%"
Melaka,1/1/19,paddy,3360,9323,28 ,78%
Melaka,1/1/20,paddy,3360,8550,28 ,"	74%"
Melaka,1/1/21,paddy,3462,10287,26 ,82%
Melaka,1/1/22,paddy,3318,10314,27 ,77%
Melaka,1/1/17,spices,85.4,1348.9,"	27 ","	84%"
Melaka,1/1/18,spices,128.7,1063.4,26 ,"	85%"
Melaka,1/1/19,spices,122.9,659.2,28 ,78%
Melaka,1/1/20,spices,135.3,705.9,28 ,"	74%"
Melaka,1/1/21,spices,62.1,460.2,26 ,82%
Melaka,1/1/22,spices,102.2,798.9,27 ,77%
Melaka,1/1/17,flowers,1350.3,17606.3,"	27 ","	84%"
Melaka,1/1/18,flowers,1246.5,17948.3,26 ,"	85%"
Melaka,1/1/19,flowers,1059.3,15062.4,28 ,78%
Melaka,1/1/20,flowers,940.6,13222.4,28 ,"	74%"
Melaka,1/1/21,flowers,769.2,10940.5,26 ,82%
Melaka,1/1/22,flowers,748.5,12181.4,27 ,77%
Negeri Sembilan,1/1/17,cash_crops,303.3,3630.6,27 ,81%
Negeri Sembilan,1/1/18,cash_crops,407.3,4153.5,"26 	",83%
